time;I(VBT1);V(+3V0);V(/Green_Signal);V(/Red_Signal);
30.3673;-2.10242e-05;3;-0.105999;-0.0652415;
30.3683;-0.000975791;3;-0.0900885;-0.0649496;
30.3693;-1.98945e-05;3;-0.105978;-0.0646561;
30.3703;-0.000974672;3;-0.0900673;-0.0643608;
30.3713;-1.87933e-05;3;-0.105957;-0.0640637;
30.3723;-0.000973581;3;-0.0900447;-0.0637648;
30.3733;-1.772e-05;3;-0.105933;-0.063464;
30.3743;-0.000972517;3;-0.0900206;-0.0631612;
30.3753;-1.66742e-05;3;-0.105908;-0.0628563;
30.3763;-0.000971481;3;-0.0899948;-0.0625493;
30.3773;-1.56554e-05;3;-0.105882;-0.0622401;
30.3783;-0.000970471;3;-0.0899674;-0.0619286;
30.3793;-1.46633e-05;3;-0.105854;-0.0616147;
30.3803;-0.000969487;3;-0.0899381;-0.0612982;
30.3813;-1.36975e-05;3;-0.105823;-0.0609792;
30.3823;-0.000968529;3;-0.089907;-0.0606574;
30.3833;-1.27577e-05;3;-0.105791;-0.0603328;
30.3843;-0.000967598;3;-0.0898739;-0.0600052;
30.3853;-1.1844e-05;3;-0.105757;-0.0596744;
30.3863;-0.000966692;3;-0.0898387;-0.0593403;
30.3873;-1.09565e-05;3;-0.105721;-0.0590028;
30.3883;-0.000965812;3;-0.0898013;-0.0586616;
30.3893;-1.00954e-05;3;-0.105683;-0.0583165;
30.3903;-0.000964959;3;-0.0897617;-0.0579673;
30.3913;-9.26144e-06;3;-0.105642;-0.0576137;
30.3923;-0.000964133;3;-0.0897197;-0.0572555;
30.3933;-8.45549e-06;3;-0.105599;-0.0568925;
30.3943;-0.000963336;3;-0.0896752;-0.0565241;
30.3953;-7.67903e-06;3;-0.105554;-0.0561502;
30.3963;-0.000962569;3;-0.089628;-0.0557702;
30.3973;-6.93415e-06;3;-0.105505;-0.0553838;
30.3983;-0.000961834;3;-0.0895782;-0.0549903;
30.3993;-6.22378e-06;3;-0.105454;-0.0545893;
30.4003;-0.000961136;3;-0.0895255;-0.05418;
30.4013;-5.55207e-06;3;-0.1054;-0.0537617;
30.4023;-0.000960479;3;-0.0894698;-0.0533335;
